,id,datetime_end,label,filename
0,1,2020-10-02 16:00:00+00:00,1,SOLUSDT_1h_00000001_1
0,2,2020-10-02 17:00:00+00:00,0,SOLUSDT_1h_00000002_0
0,3,2020-10-02 18:00:00+00:00,1,SOLUSDT_1h_00000003_1
0,4,2020-10-02 19:00:00+00:00,1,SOLUSDT_1h_00000004_1
0,5,2020-10-02 20:00:00+00:00,1,SOLUSDT_1h_00000005_1
0,6,2020-10-02 21:00:00+00:00,1,SOLUSDT_1h_00000006_1
0,7,2020-10-02 22:00:00+00:00,1,SOLUSDT_1h_00000007_1
0,8,2020-10-02 23:00:00+00:00,1,SOLUSDT_1h_00000008_1
0,9,2020-10-03 00:00:00+00:00,0,SOLUSDT_1h_00000009_0
0,10,2020-10-03 01:00:00+00:00,1,SOLUSDT_1h_00000010_1
0,11,2020-10-03 02:00:00+00:00,0,SOLUSDT_1h_00000011_0
0,12,2020-10-03 03:00:00+00:00,0,SOLUSDT_1h_00000012_0
0,13,2020-10-03 04:00:00+00:00,0,SOLUSDT_1h_00000013_0
0,14,2020-10-03 05:00:00+00:00,1,SOLUSDT_1h_00000014_1
0,15,2020-10-03 06:00:00+00:00,0,SOLUSDT_1h_00000015_0
0,16,2020-10-03 07:00:00+00:00,1,SOLUSDT_1h_00000016_1
0,17,2020-10-03 08:00:00+00:00,1,SOLUSDT_1h_00000017_1
0,18,2020-10-03 09:00:00+00:00,0,SOLUSDT_1h_00000018_0
0,19,2020-10-03 10:00:00+00:00,1,SOLUSDT_1h_00000019_1
0,20,2020-10-03 11:00:00+00:00,1,SOLUSDT_1h_00000020_1
0,21,2020-10-03 12:00:00+00:00,1,SOLUSDT_1h_00000021_1
0,22,2020-10-03 13:00:00+00:00,1,SOLUSDT_1h_00000022_1
0,23,2020-10-03 14:00:00+00:00,0,SOLUSDT_1h_00000023_0
0,24,2020-10-03 15:00:00+00:00,1,SOLUSDT_1h_00000024_1
0,25,2020-10-03 16:00:00+00:00,1,SOLUSDT_1h_00000025_1
0,26,2020-10-03 17:00:00+00:00,1,SOLUSDT_1h_00000026_1
0,27,2020-10-03 18:00:00+00:00,1,SOLUSDT_1h_00000027_1
0,28,2020-10-03 19:00:00+00:00,1,SOLUSDT_1h_00000028_1
0,29,2020-10-03 20:00:00+00:00,0,SOLUSDT_1h_00000029_0
0,30,2020-10-03 21:00:00+00:00,0,SOLUSDT_1h_00000030_0
0,31,2020-10-03 22:00:00+00:00,0,SOLUSDT_1h_00000031_0
0,32,2020-10-03 23:00:00+00:00,0,SOLUSDT_1h_00000032_0
0,33,2020-10-04 00:00:00+00:00,0,SOLUSDT_1h_00000033_0
0,34,2020-10-04 01:00:00+00:00,0,SOLUSDT_1h_00000034_0
0,35,2020-10-04 02:00:00+00:00,0,SOLUSDT_1h_00000035_0
0,36,2020-10-04 03:00:00+00:00,0,SOLUSDT_1h_00000036_0
0,37,2020-10-04 04:00:00+00:00,0,SOLUSDT_1h_00000037_0
0,38,2020-10-04 05:00:00+00:00,0,SOLUSDT_1h_00000038_0
0,39,2020-10-04 06:00:00+00:00,0,SOLUSDT_1h_00000039_0
0,40,2020-10-04 07:00:00+00:00,0,SOLUSDT_1h_00000040_0
0,41,2020-10-04 08:00:00+00:00,0,SOLUSDT_1h_00000041_0
